category,compatibility,languages,name,price,rating,size
 Photography, OS X 10.5  , English,Awesome Cliparts,$1.99 ,5, 332.7 MB
 Graphics & Design, OS 10.12  ," English, French, Portuguese",AZTEC Code Generator,$1.99 ,, 8 MB
 Business, OS X 10.8  , English,BusinessFlyers,$4.99 ,1, 2.7 GB
 Photography, OS 10.12  ," English, French, German",Colorator 2,$3.99 ,1, 2.5 MB
 Graphics & Design, OS X 10.11  , English,CV Resume Templates by DH,$4.99 ,, 283 MB
 Graphics & Design, OS 10.14  , English,Dynaper - Dynamic Wallpapers,Free,4.2, 12.3 MB
 Utilities, OS 10.13  ," English, Simplified Chinese, Traditional Chinese",EZMonitorTest,$0.99 ,, 1.6 MB
 Photography, OS X 10.8  , English,FX Photo Studio Pro,$24.99 ,3.7, 158.1 MB
 Graphics & Design, OS X 10.6.6  ,,Grungetastic,$9.99 ,5, 91.5 MB
 Productivity, OS 10.12  , English,Invitation Expert - Templates for MS Word,$9.99 ,, 226 MB
 Graphics & Design, OS 10.14  , English,IUEditor,$99.99 ,, 107.3 MB
 Graphics & Design, OS X 10.8  ," English, French, German, Italian, Japanese, Simplified Chinese, Spanish",Hype 4,Free,4.8, 13.2 MB
 Utilities, OS X 10.6.6 ,,JVElaser,Free,5, 5.1 MB
 Graphics & Design, OS X 10.11  , English,Kythera,$9.99 ,, 1.5 MB
 Productivity, OS 10.12  , English,NoMouseAllowed,Free,, 6.6 MB
 Entertainment, OS X 10.6  , English,Lumin,$0.99 ,4.3, 3.9 MB
 Business, OS 10.12  , English,MySlides - Slide Templates,$0.99 ,, 5.1 MB
 Graphics & Design, OS X 10.7  ," English, French, German, Italian, Portuguese, Russian, Simplified Chinese, Spanish",MyFourWalls,$26.99 ,1.3, 110.1 MB
 Productivity, OS X 10.9  , English,MyDraw,$69.99 ,1, 59.6 MB
 Graphics & Design, OS X 10.10  , English,"Mybrushes-Sketch,Paint,Design",$9.99 ,2.4, 8.9 MB
 Graphics & Design, OS X 10.9  , English,My PaintBrush: Paint and Edit,$4.99 ,, 3.2 MB
 Entertainment, OS X 10.9  , English,My PaintBrush Pro: Draw & Edit,$9.99 ,3.3, 3.9 MB
 Graphics & Design, OS 10.12  , English,MWatermark,$0.99 ,1, 551.5 KB
 Graphics & Design, OS X 10.6.6  ,,MultiWatermarks,$6.99 ,2.9, 48.7 MB
 Utilities, OS X 10.11  , English,Multiple PDF Merge - Combine PDF Files,$7.99 ,, 4.6 MB
 Graphics & Design, OS X 10.9  , English,Multideck,$24.99 ,5, 7.8 MB
 Graphics & Design, OS X 10.10  ,,MultiCrop,$5.99 ,1, 32.7 MB
 Graphics & Design, OS X 10.8  , English,MovieTexts,$4.99 ,1.7, 1.9 GB
 Video, OS X 10.7 , English,Movieman,$2.99 ,5, 887.4 KB
 Video, OS X 10.6  , English,MovieDrops HD for iMovie and for Final Cut Pro,$7.99 ,2.5, 2.1 GB
 Video, OS X 10.6.6  , English,Movie Thumbnailer,$4.99 ,2.7, 7.5 MB
 Utilities, OS X 10.10  , English,Movie Resize for App Previews,$2.99 ,5, 9.7 MB
 Video, OS X 10.10  ," English, Japanese",Movie generator - Generate movies from images,Free,, 3.2 MB
 Graphics & Design, OS X 10.8  , English,Mouse Coordinates,$0.99 ,5, 2.6 MB
 Video, OS X 10.10  , English,Motion Video Backgrounds,Free,2.5, 991.4 MB
 Productivity, OS X 10.11  ," English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Spanish",Motion Theme Expert - Template,$9.99 ,, 696.3 MB
 Graphics & Design, OS X 10.6  , English,Motion Templates for MS PowerPoint Presentations,$12.99 ,2, 260 MB
 Graphics & Design, OS X 10.9.0  , English,MOTiON by RADiCAL,Free,4, 223.1 MB
 Graphics & Design, OS X 10.11  , English,Mosaic Shapes,Free,5, 68 MB
 Photography, OS X 10.10  , English,"Mosaic - Photo Collage, Blend and Tile",$19.99 ,, 14.1 MB
 Entertainment, OS X 10.6 , English,Morphyre Christmas Visualiser,$4.99 ,3.5, 16.7 MB
 Video, OS X 10.11 ," English, Dutch, French, German, Italian, Japanese, Norwegian, Portuguese, Spanish, Swedish",MorphX,Free,2.5, 1.9 MB
 Graphics & Design, OS X 10.10  ," English, Japanese",MorphRush - Generate morphing movies from images,Free,1, 101.4 MB
 Video, OS X 10.10  ," English, French, German",Morph Age - Image Morphing,$49.99 ,2.5, 11.6 MB
 Utilities, OS X 10.10  , English,Morph - PSD File Converter,$1.99 ,, 3.7 MB
 Graphics & Design, OS 10.12  , English,"Morphi, 3D Modeling + Printing",$9.99 ,5, 65.6 MB
 Developer Tools, OS X 10.10  ," English, Japanese",MopiShape,$3.99 ,5, 24.6 MB
 Graphics & Design, OS X 10.9  , English,Mood Board,$8.99 ,1.2, 2.3 MB
 Graphics & Design, OS 10.13  , English,Montibus Designs,$4.99 ,, 1.7 GB
 Graphics & Design, OS 10.13  ," English, Russian",Monosnap - screenshot editor,Free,4.3, 12.3 MB
 Photography, OS 10.13  ," English, French, German",Monochromist 2,$4.99 ,, 723.6 KB
 Developer Tools, OS 10.14  , English,Modern Colour Picker,$3.99 ,, 5 MB
 Graphics & Design, OS X 10.6  ,,Moku Hanga,$17.99 ,3.7, 35.1 MB
 Graphics & Design, OS X 10.8  , English,Modern Collage Creator,$7.99 ,, 653.9 KB
 Graphics & Design, OS X 10.6 , English,Mockup - Live UI prototyping,$3.99 ,1.3, 7.1 MB
 Graphics & Design, OS X 10.7  , English,Mockup,$4.99 ,, 8.3 GB
