category,compatibility,languages,name,price,rating,size
 Graphics & Design, OS X 10.11  , English,Made Simple For Adobe Indesign,$4.99 ,1, 3.3 MB
 Graphics & Design, OS X 10.11  , English,MacDraft Pro 7,$399.99 ,, 179.6 MB
 Graphics & Design, OS X 10.11  , English,MacDraft P.E. 7,$99.99 ,, 156.6 MB
 Graphics & Design, OS X 10.11  , English,MA Ink Painting,Free,, 2 MB
 Graphics & Design, OS X 10.10  ," English, Simplified Chinese, Traditional Chinese",M4V Converter - A powerful M4V converter that can convert video formats to M4V format,$2.99 ,1, 248.9 KB
 Productivity, OS X 10.10  , English,Newsletters,$9.99 ,2, 4.3 MB
 Photography, OS X 10.6.6  ,,NIR Color,$5.99 ,5, 14.4 MB
 Productivity, OS X 10.11  ," English, Danish, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai",Newsletter Templates - GN,$7.99 ,1, 13 MB
 Productivity, OS 10.12  , English,Newsletter Expert - Templates for MS Word,$1.99 ,, 477.6 MB
 Graphics & Design, OS X 10.8  , English,New Years Greetings,$4.99 ,5, 5.6 GB
 Graphics & Design, OS 10.12  ," English, Simplified Chinese, Traditional Chinese",New Paint X,Free,3.2, 11.5 MB
 Graphics & Design, OS 10.12  , English,Neural Network Designer,$13.99 ,, 5.5 MB
 Graphics & Design, OS X 10.6 , English,Nature Art,$9.99 ,3, 153.7 MB
 Graphics & Design, OS X 10.11.0  , English,Ludigraphix,$35.99 ,, 9.5 MB
 Graphics & Design, OS X 10.8  , English,Lossless PDF Compressor,$3.99 ,2.3, 3 MB
 Developer Tools, OS X 10.11  , English,LoremMarkup - The Awesome Lorem Ipsum HTML Code Generator,$13.99 ,, 1.8 MB
 Developer Tools, OS X 10.10  , English,Loremify,Free,4.8, 854.6 KB
 Video, OS X 10.11  , English,Look4Faces 2,$21.99 ,2, 10.2 MB
 Photography, OS X 10.10  ," English, Simplified Chinese",Long Image,$9.99 ,, 5 MB
 Photography, OS X 10.10  , English,Long Exposure Stacker,$19.99 ,, 13 MB
 Graphics & Design, OS X 10.9  , English,LogosKit for Adobe Illustrator,$14.99 ,1, 84.5 MB
 Graphics & Design, OS 10.12  ," English, Dutch, French, German, Italian, Polish, Russian, Simplified Chinese, Spanish",Logoist 3,$29.99 ,4.1, 215.8 MB
 Graphics & Design, OS X 10.11  ," English, Czech, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",LogoDesign2,Free,5, 33.3 MB
 Graphics & Design, OS X 10.7  , English,Logo Templates Toolbox for Adobe Photoshop,Free,1, 13.6 MB
 Graphics & Design, OS X 10.6.6 , English,Logo Templates Mega Pack! for Adobe Photoshop with PSD Files,$19.99 ,2.6, 272 MB
 Graphics & Design, OS X 10.6.6 , English,Logo Templates for Adobe Photoshop with PSD Files Pack 4,$9.99 ,, 53.4 MB
 Graphics & Design, OS X 10.6.6 , English,Logo Templates for Adobe Photoshop with PSD Files Pack 3,$9.99 ,, 74.1 MB
 Graphics & Design, OS X 10.6.6 , English,Logo Templates for Adobe Photoshop with PSD Files Lite Pack,Free,2, 13.5 MB
 Graphics & Design, OS X 10.6.6  , English,Logo Pop Lite - Logo Design,$1.99 ,1.5, 7.4 MB
 Graphics & Design, OS X 10.6.6  , English,Logo Pop Free,Free,1.9, 5.5 MB
 Graphics & Design, OS X 10.9  , English,Logo Pop - Easy Logo Design,$9.99 ,, 17.2 MB
 Graphics & Design, OS 10.12  , English,Logo Maker - Design Monogram,Free,3.9, 48.2 MB
 Graphics & Design, OS 10.12  ," English, Danish, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai",Logo Lab for iWork - Templates,$19.99 ,3, 243.2 MB
 Graphics & Design, OS X 10.6.6  , English,Logo Design Studio Pro 2 Lite,$2.99 ,1.1, 6.5 MB
 Graphics & Design, OS X 10.11  , English,LogGraphPaperGenerator,$2.99 ,, 4.2 MB
 Graphics & Design, OS X 10.6.6  , English,Logo Design Studio Pro 2,$24.99 ,1, 25.9 MB
 Photography, OS X 10.11  , English,Lochkamera,$4.99 ,4, 5.3 MB
 Photography, OS X 10.11  ," English, Danish, French, German, Italian, Japanese, Persian, Russian, Simplified Chinese, Spanish, Traditional Chinese",LiveQuartz Photo Edit Lite,Free,4, 9.2 MB
 Photography, OS X 10.11  ," English, Danish, French, German, Italian, Japanese, Persian, Russian, Simplified Chinese, Spanish, Traditional Chinese",LiveQuartz Photo Edit,$7.99 ,4.1, 9 MB
 Graphics & Design, OS 10.12  ," English, French, German, Italian, Japanese, Russian, Simplified Chinese, Spanish, Ukrainian",Live Home 3D - Interior Design,$19.99 ,4.2, 309.7 MB
 Graphics & Design, OS 10.12  ," English, French, German, Italian, Japanese, Russian, Simplified Chinese, Spanish, Ukrainian",Live Home 3D Pro - Home Design,$49.99 ,4.1, 309.7 MB
 Developer Tools, OS 10.12  , English,Lip Sync Animator,$9.99 ,, 3.8 MB
 Graphics & Design, OS X 10.6  ,,LightWeaver,$3.99 ,5, 15.6 MB
 Education, OS X 10.6 ," English, French, German, Japanese, Simplified Chinese, Spanish, Traditional Chinese",Little Snail,Free,3.8, 25.2 MB
 Photography, OS X 10.6.6  ,,LightRays 3,$6.99 ,1, 26.8 MB
 Photography, OS 10.14  , English,LightTable SX,Free,, 2.6 MB
 Graphics & Design, OS X 10.6.6  ,,LightRays 2,$5.99 ,1, 25.1 MB
 Photography, OS X 10.6.6  ,,LightRays,$3.99 ,1.5, 43 MB
 Photography, OS X 10.11  ,,LightleaksPhotos,$9.99 ,, 343.2 MB
 Graphics & Design, OS X 10.7  , English,LightPresents,$6.99 ,5, 2.6 GB
 Graphics & Design, OS X 10.10  , English,Lighting Source Manager 2,$24.99 ,, 21.7 MB
 Graphics & Design, OS X 10.6.6  ,,Lighting Effects : Play with Lights like a Pro!,$3.99 ,5, 49.6 MB
 Graphics & Design, OS X 10.10  , English,Lighting Source Manager,$14.99 ,, 19 MB
 Graphics & Design, OS X 10.11  , English,Live Desktop - Live Wallpapers,$0.99 ,4.1, 48 MB
 Photography, OS X 10.6.6  ," English, Russian",LightFrame,$13.99 ,5, 65.1 MB
 Graphics & Design, OS X 10.10  , English,Lighting Bulb Manager,$9.99 ,, 19 MB
 Graphics & Design, OS X 10.11  , English,Light Mixer - Photo & Image Blend Editor,$12.99 ,3, 207.2 MB
 Photography, OS 10.13  , English,Light ImageResizer,Free,, 3.6 MB
 Photography, OS X 10.8  , English,LightActions,$6.99 ,2.8, 1.1 GB
 Photography, OS X 10.10  , English,Light EQ by ACDSee,Free,4.5, 1.7 MB
 Graphics & Design, OS X 10.6 , English,Light Box,$0.99 ,2.5, 273 KB
 Video, OS X 10.9  , English,LifeFlix DV Importer & Editor,$39.99 ,4.3, 9.1 MB
 Graphics & Design, OS 10.14  , German,Lienzo,Free,, 2.9 MB
 Graphics & Design, OS X 10.11  ," English, French, German, Japanese, Spanish",Letters,Free,4.2, 235.4 MB
 Graphics & Design, OS X 10.6.6 , English,LetterMpress,$9.99 ,3.5, 801.7 MB
 Developer Tools, OS X 10.9  , English,LevelHelper 2,Free,5, 16.5 MB
 Productivity, OS 10.12  , English,Letter Expert - Templates for MS Word,$9.99 ,, 160 MB
 Photography, OS X 10.11  ,,LensGlobePhotos,$19.99 ,, 37 MB
 Graphics & Design, OS X 10.11  ," English, French, German, Italian, Japanese, Korean, Russian, Simplified Chinese, Spanish",Letter Template Lab for Word - Templates Bundle,$9.99 ,, 557 MB
 Photography, OS 10.14  , English,LensFlare Studio,$29.99 ,5, 110.4 MB
 Graphics & Design, OS X 10.11.0  ,,Lens Studio,uent/Mild Cartoon or Fantasy Violence,4.3, 875.2 MB
 Graphics & Design, OS 10.14  , English,Ledavio image importer,Free,, 4.3 MB
 Graphics & Design, OS X 10.11  , English,Learning Guide For Photoshop,$3.99 ,, 4.4 MB
 Graphics & Design, OS X 10.7  , English,LearnForInventor2017,$4.99 ,, 1.2 GB
 Graphics & Design, OS X 10.7  , English,LearnForAutoCADExpert,$4.99 ,, 2 GB
 Graphics & Design, OS X 10.7  , English,LearnForAutoDeskFusion360,$4.99 ,4, 743.4 MB
 Graphics & Design, OS X 10.7  , English,LearnForAutoCAD2017,$4.99 ,, 1.4 GB
 Graphics & Design, OS X 10.7  , English,LearnForAfterEffects,$4.99 ,, 2.2 GB
 Graphics & Design, OS X 10.7  , English,LearnForAutoCAD2016,$4.99 ,, 2.7 GB
 Graphics & Design, OS X 10.7  , English,LearnFor ToonBoom,$3.99 ,1, 1.1 GB
 Graphics & Design, OS X 10.7  , English,LearnFor CATIAV5,$4.99 ,, 345.8 MB
 Video, OS X 10.7  , English,LearnFor Camtasia,$2.99 ,, 653.9 MB
 Graphics & Design, OS X 10.11  , English,Learn! For Adobe Indesign,$4.99 ,, 4.9 MB
 Graphics & Design, OS X 10.11  , English,Learn It For Adobe Illustrator,$6.99 ,, 4.6 MB
 Graphics & Design, OS X 10.7  , English,Learn - Sparkle Visual Web Design Edition,$5.99 ,, 563.5 MB
 Graphics & Design, OS X 10.7  , English,Learn for AutoCAD,$4.99 ,1, 1.6 GB
 Graphics & Design, OS X 10.7  , English,Learn - Pixelmator 3.5 Edition,$5.99 ,3.7, 913.8 MB
 Graphics & Design, OS X 10.7  , English,Learn For Blender3D,$4.99 ,3.7, 1.2 GB
 Graphics & Design, OS X 10.7  , English,Learn For Photoshop,$4.99 ,3.6, 2.7 GB
 Productivity, OS X 10.9.2  , English,Leap,$25.99 ,1, 7.3 MB
 Photography, OS X 10.6 , English,Learn - iPhoto '11 Edition,$5.99 ,3.6, 438.2 MB
 Graphics & Design, OS X 10.7  , English,Leaflets templates for Word,$8.99 ,1, 3 MB
 Graphics & Design, OS X 10.7  , English,Leaflets templates for Pages,$8.99 ,1.5, 2.8 MB
 Graphics & Design, OS 10.12  ," English, Danish, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai",Layouts Lab - Templates,$24.99 ,4.3, 9.9 MB
 Graphics & Design, OS X 10.10.0  ,,Lanto,$4.99 ,, 16.4 MB
 Video, OS X 10.11  , English,Lattice,$249.99 ,5, 23.1 MB
 Graphics & Design, OS X 10.8  , English,LastShot,Free,4, 4.7 MB
 Utilities, OS X 10.8  , English,LabelScope,Free,4, 3.3 MB
 Graphics & Design, OS X 10.7.3  ," English, French, German, Italian, Russian, Simplified Chinese, Spanish",Labels and Databases,$19.99 ,2, 72.6 MB
 Graphics & Design, OS 10.12  , English,Labelist 10,$24.99 ,2, 86.1 MB
 Graphics & Design, OS X 10.10  , English,Label Templates for Pages,$9.99 ,1.5, 159.7 MB
 Productivity, OS X 10.11  ," English, Danish, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai",Label Templates - DesiGN,$7.99 ,2, 12.9 MB
 Graphics & Design, OS X 10.8  , English,Label template & Design by T.L,$4.99 ,1, 1.6 MB
 Productivity, OS X 10.9  , English,Label Maker for MS Word,$9.99 ,1, 93.3 MB
 Productivity, OS 10.12  , English,Label Expert - Templates for MS Word,$9.99 ,1, 1.4 GB
 Graphics & Design, OS X 10.10  , English,Label Design for EPS,$5.99 ,, 91.4 MB
 Graphics & Design, OS X 10.10  , English,Label Design for Adobe illustrator,$5.99 ,1, 153.5 MB
 Productivity, OS X 10.11  , English,L Edition Themes for Keynote,$17.99 ,, 2.2 GB
 Graphics & Design, OS X 10.8  ," English, French",Kromatik,$0.99 ,2, 2.7 MB
 Utilities, OS X 10.11  , English,Kromatic,$1.99 ,3, 3.3 MB
 Graphics & Design, OS X 10.10  , English,Kriging,$29.99 ,, 10 MB
 Graphics & Design, OS 10.12  , English,Kite Compositor,$99.99 ,5, 35.5 MB
 Graphics & Design, OS 10.12  , English,Kit for Pages - Templates,Free,4.4, 27.1 MB
 Graphics & Design, OS X 10.7  , English,KidsPainter,$11.99 ,2, 14.6 MB
 Games, OS X 10.6.6  , English,Kink,Free,1, 25 MB
 Graphics & Design, OS X 10.6  , English,Kids Paint,$4.99 ,3, 17.2 MB
 Graphics & Design, OS X 10.11  , English,Keyshape,$29.99 ,4.7, 17.9 MB
 Developer Tools, OS X 10.11  , English,Kelir Pro,$1.99 ,5, 10.2 MB
 Developer Tools, OS X 10.11  , English,Kelir,Free,5, 9.9 MB
 Productivity, OS X 10.9  , English,KBook Description Editor - The Kindle HTML Description Generator,$13.99 ,5, 2.7 MB
 Graphics & Design, OS X 10.8  ," English, German",KartenMatch,Free,5, 637.5 KB
