category,compatibility,languages,name,price,rating,size
 Education, OS X 10.7 ," English, French, Portuguese, Spanish",Kid Fonts,$3.99 ,, 6.7 MB
 Utilities, OS X 10.10  , English,Kick Tolerance,$24.99 ,, 12 MB
 Education, OS X 10.9 , English,KF Eng Polish Dictionary,,1, 14.4 MB
 Education, OS X 10.8  , English,Keys,$10.99 ,5, 637.5 KB
 Entertainment, OS X 10.10  ," English, Simplified Chinese, Traditional Chinese",KeyWack,$9.99 ,2.8, 38.3 MB
 Music, OS X 10.6.6 ," English, French, German, Hebrew, Italian, Japanese",KeyboardTools,$11.99 ,5, 5.6 MB
 Education, OS X 10.6.6  ,,Keyboard Virtuoso Light,Free,4, 14.9 MB
 Productivity, OS X 10.11  ," English, French, German, Greek, Italian, Portuguese, Russian, Spanish, Turkish, Ukrainian",KeyKey â€” Typing Practice,$14.99 ,4.2, 41.4 MB
 Education, OS X 10.6.6  ,,Keyboard Virtuoso,$3.99 ,1, 15.2 MB
 Music, OS X 10.9.0  , English,Keyboard Techniques 101,$10.99 ,, 709.6 MB
 Education, OS X 10.7  , English,Keyboard Shortcuts for MS Office 2013 - A simpleNeasyApp by WAGmob,Free,5, 69 MB
 Education, OS X 10.6.6 , English,KeyBlaze,$29.99 ,3, 2.7 MB
 Education, OS X 10.8  , English,Key Stage 3 Science Review,,, 338.7 MB
 Entertainment, OS X 10.10  , English,Key Mash,$0.99 ,5, 119.3 MB
 Education, OS X 10.10  , English,Katakana Flash Card,$1.99 ,5, 1.4 MB
 Reference, OS X 10.9  , English,Karen Dictionary,$1.99 ,5, 11.7 MB
 Reference, OS 10.13  ," English, German, Japanese",Kanji Lookup,$1.99 ,1, 35.3 MB
