category,compatibility,languages,name,price,rating,size
 Education, OS X 10.11  , English,How To Build A Robot,$4.99 ,, 2.2 MB
 Education, OS X 10.11  , English,How To Build A Boat,$3.99 ,, 4.7 MB
 Reference, OS X 10.6  , English,House Cheats for Minecraft,$4.99 ,3.4, 1.7 GB
 Education, OS X 10.11  , English,Horse Training,$4.99 ,, 4.8 MB
 Sports, OS X 10.11  , English,Horse Jumping Skills,$4.99 ,, 5.3 MB
 Education, OS X 10.6.6  ," English, German, Italian, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai",Homeworkâ„¢,$0.99 ,2.3, 14.5 MB
 Reference, OS X 10.7  ," English, Arabic, Catalan, Croatian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian BokmÃ¥l, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Holy Bible Audio Book,Free,2.5, 17.8 MB
 Games, OS X 10.8  ," English, French, German, Italian",Holidays Junior,$0.99 ,, 33 MB
 Video, OS 10.13  , English,HolaHello Sub Mix,$4.99 ,, 27 MB
 Games, OS X 10.6.6 ," English, German, Spanish",Hogworld: Gnart's Adventure,$0.99 ,3.4, 221.2 MB
 Games, OS X 10.7  , English,History Trivia: Ancient-Modern,Free,2.8, 9.6 MB
 Education, OS X 10.10  , English,Hiragana Flash Card,$1.99 ,1, 1.5 MB
 Medical, OS X 10.8  , English,Hip Pro III with Animations,,3, 459.3 MB
 Medical, OS X 10.6 , English,Hip Nerves Ending,$1.99 ,3, 58.3 MB
 Education, OS 10.12  , English,Hindi Pop Quiz Lite,Free,5, 4.4 MB
 Education, OS 10.12  , English,Hindi Pop Quiz,$2.99 ,5, 4.4 MB
 Education, OS X 10.9  ," English, German",Hierarchy Flowchart Maker,$14.99 ,1.8, 48.4 MB
 Games, OS X 10.6.6 , English,Hidden Pictures Puzzle Play,$1.99 ,1.5, 88.3 MB
 Games, OS X 10.6 , English,Hidden Object Crosswords,$6.99 ,2.6, 134.1 MB
 Games, OS X 10.6 ," English, French, German",Heydooda! The kitty says: Hello animal kids,Free,3.2, 34.4 MB
 Education, OS X 10.10  ," English, Arabic, Bulgarian, Catalan, Danish, French, German, Italian, Romanian, Spanish, Swedish",Hey! U App,Free,, 1.4 MB
 Games, OS X 10.9.0  , English,Hexologic,$1.99 ,3.1, 92.9 MB
 Finance, OS X 10.9.0  , English,The Game of the Golden Age,,4, 29.3 MB
 Education, OS X 10.7  , English,Herme,$0.99 ,1, 50.3 MB
 Video, OS X 10.11  , English,Help! For Adobe After Effects,$5.99 ,, 6.1 MB
 Developer Tools, OS X 10.7  , English,HelloWeb Free: Write & Test HTML/CSS/JS Code,Free,2.4, 3.4 MB
 Education, OS X 10.9  , German,Heintges Jagdtrainer,$9.99 ,, 27.3 MB
 Health & Fitness, OS X 10.5 ," English, German",HeilkrÃ_uter aus der Natur,,, 4.4 MB
 Reference, OS X 10.9  , English,HEDict English Vietnamese,$2.99 ,, 46.9 MB
